epoch,train_loss,val_loss
1,0.018322445464457944,0.11749631851027656
2,0.025946525249851467,0.16698631916409556
3,0.03538790106088708,0.20396107034754543
4,0.03469388969651605,0.19716826759201178
5,0.030564520304728886,0.1582129462619448
6,0.020423100868451286,0.17375628788858408
7,0.029972303483048416,0.22000449407111414
8,0.031672606984209976,0.17770624093813356
9,0.024478111396682035,0.13544431737434975
10,0.02910857785264702,0.16792365261187503
11,0.04139005747998246,0.18884026728527648
12,0.03799830216890422,0.17315689522271965
13,0.03861695242005317,0.05875098208928986
14,0.0477276604090476,0.07343953026989869
15,0.03401983964854562,0.13149187215821093
16,0.02288516873686831,0.18531636699108478
17,0.023492442102118292,0.11691319291315302
18,0.03327680101117617,0.018694757539998795
19,0.05257644819626339,0.14671810197982613
20,0.029789014244936036,0.14707714087274504
21,0.04130956372019873,0.17030032858700708
22,0.030786532802625152,0.16559477188340063
23,0.03124417540036951,0.16497431546678384
24,0.025871327559583334,0.15572103581594562
25,0.02850927317452922,0.15550055979670702
26,0.028950970739570495,0.1523439423553322
27,0.027558922086795726,0.18989301608897532
28,0.02229081110567582,0.15992143664769584
29,0.024976510991635753,0.11857181835569777
30,0.043022246464959994,0.02497883977186087
31,0.02717549606899618,0.027932571897377263
32,0.024388276079898862,0.05263442231012321
33,0.015380871774648511,0.07388330083444135
34,0.015230747199365065,0.062200096859843526
35,0.013066254226038795,0.06217477563514621
36,0.014211674196208777,0.04816893034618131
37,0.014719582922370996,0.037035883512733125
38,0.015177162891272935,0.06472717702796683
39,0.014745842822125021,0.05683174764591251
40,0.012403189372253489,0.03984210983100583
41,0.01771198453901236,0.01647498444987975
42,0.009256924049802816,0.016880483119136737
43,0.00977611878093608,0.014304626328748425
44,0.010176281855177388,0.022430761068792087
45,0.009938904284551398,0.010949770095385225
46,0.011507881229093443,0.018252757330181488
47,0.010263879218861533,0.004727777833351608
48,0.008882314011762864,0.015705149999108284
49,0.009713292681579368,0.010619538528752918
50,0.00773895070161923,0.02239503646087148
51,0.00860096419279325,0.020762321661039067
52,0.00811865123737505,0.019728677852334436
53,0.007148532547562329,0.02518956260039838
54,0.00856004791985242,0.03538736931435165
55,0.007266221538601218,0.02216490666593949
56,0.007108522246221614,0.05730416603210891
57,0.007248409701178047,0.007379115872594982
58,0.007286820487003166,0.023564295538887038
59,0.006733098954807673,0.0026200720778847657
60,0.005105178430077383,0.005232408677927082
61,0.0048366947724469015,0.005385961864122392
62,0.005009218651737554,0.006766738058716279
63,0.004527419933620018,0.004434250698998477
64,0.00434690751150731,0.0072836734457288116
65,0.004361314831660369,0.011898146016759691
66,0.004283140348961094,0.007817991351416167
67,0.004071852794821019,0.007919156697442073
68,0.004090784591801888,0.0077612579982032194
69,0.0038145103794457818,0.009059708126518193
70,0.003809322113867769,0.01388255186507305
71,0.003609554941792032,0.0014531645092894462
72,0.0032814878182112006,0.0023179454660763716
73,0.0031819552504062467,0.0024429842115243293
74,0.0031326979530119673,0.0014335258500932267
75,0.003047175739029803,0.003510116610280606
76,0.0029860303793042596,0.003915677507596352
77,0.0029175332457373458,0.0039390309121560335
78,0.002862400178015828,0.006961506282677091
79,0.0028069835333173034,0.00510825090412343
80,0.002762933196644046,0.006332115361432294
81,0.002684924000163688,0.007402183862987104
82,0.002646688525794885,0.004383048342424704
83,0.0026362236168300953,0.004876680281518542
84,0.0025409154533186764,0.0059062875443231765
85,0.0025002361569410807,0.003747059488849913
86,0.002494143282461773,0.0005407612515211093
87,0.002409634750320379,0.00066876085642313
88,0.0023721520480847504,0.0008354890340439702
89,0.002339392777878671,0.0007424616549109666
90,0.002299684446467921,0.001451381727350782
91,0.0022900244770785315,0.0016190975565901716
92,0.0022602970157537846,0.0013889108559103159
93,0.0022434579491921636,0.0007869239617604228
94,0.00221002892840324,0.0012384332316477185
95,0.0021794567243719047,0.0013298749888194146
96,0.002172165030733519,0.0012075556914095341
97,0.0021509382924087984,0.0013597611496716528
98,0.002148823984879197,0.00028314203187648226
99,0.0021009218652730402,0.00032538954799167145
100,0.0020920737384099927,0.0002916208246775204
